product_id,category_id,supplier_id,product_name,price,stock_quantity
5116-vjq-2956,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHR3Z0C3RDD0QYFT566,Pampers Swaddlers Diapers,25,222
6718-hlo-4759,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHZ74ZQCSDXCS7CBVAC,Huggies Natural Care Baby Wipes,10,424
2985-wrf-5782,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHX81N7E24DA6H2H5DW,Similac Pro-Advance Infant Formula,30,229
6102-xrq-0039,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CH4HTSJPEPDVK565CM4,Dr. Brown's Original Baby Bottles,15,327
4625-mrp-9938,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHF5YHQ7PBD8T11XRG1,Philips Avent Soothie Pacifiers,5,216
4163-cos-4183,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHWKK9ACW7KQ58MHMZ1,Bumkins Waterproof SuperBib,8,419
6949-zmb-6593,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHWKK9ACW7KQ58MHMZ1,Aden + Anais Muslin Swaddle Blankets,20,215
4817-ajp-5230,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CH8R4CV5Q9QFTJPQJGK,Carter's Baby Onesies,15,251
8600-uzy-9324,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHZ74ZQCSDXCS7CBVAC,Gerber Baby Socks,5,431
5549-jnd-9469,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHR3Z0C3RDD0QYFT566,Burt's Bees Baby Organic Hats,10,498
1345-epw-6525,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHR3Z0C3RDD0QYFT566,Nuby Mittens with Teething Surfaces,7,162
4488-xnr-2917,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CJ0MY496XC7CYHNBGTJ,Hudson Baby Hooded Towels,12,122
7706-sdc-6511,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHSG3EB7GENNYD7YQ2K,Spasilk Soft Terry Washcloths,8,140
1168-xbn-0432,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHCP09BHCGDV9QKN714,Mustela Baby Shampoo,11,299
4499-tnt-9852,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CH5VCPYTTHN511QQES1,Cetaphil Baby Daily Lotion,9,304
0680-xli-5922,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHSG3EB7GENNYD7YQ2K,Johnson's Baby Powder,4,352
3854-wla-5258,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CH4HTSJPEPDVK565CM4,Babyganics Baby Oil,9,106
3798-lwd-1703,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CH5VCPYTTHN511QQES1,The First Years Sure Comfort Deluxe Newborn to Toddler Tub,25,434
9053-fkh-0017,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHWKK9ACW7KQ58MHMZ1,Munchkin Float and Play Bubbles Bath Toy,6,126
8158-tqy-8681,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CH6JG1EH9SBFMNB0GGS,Safety 1st Deluxe Healthcare & Grooming Kit,20,467
7416-fxi-4079,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHQ9C33SR8SVY42F12Z,Braun Digital Ear Thermometer,35,195
2969-cmd-8655,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHZ74ZQCSDXCS7CBVAC,Infants' Tylenol Pain Reliever & Fever Reducer,8,258
6618-mrt-2798,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHR3Z0C3RDD0QYFT566,NUK Grins & Giggles Infant Tooth and Gum Cleanser,4,355
6260-fwl-7260,01HQZSYXN9NDEKZ0KDTXG7GWAR,01HQZS3CHTW8HFTSAJKRVCRW51,Nuby Ice Gel Teether Keys,6,102
