gift_card_id,gift_card_code,detail,status
3bb1655b-9007-415c-b78a-c6c10a386882,5XT6GQ9XQ72,0.3,UNUSED
e644c698-5398-4f5f-a7b8-ab66bb280e9f,6H72H48TW29,0.4,USED
4e6f0d5a-b70a-40a3-ae31-31f9998566f9,2V17MT0KA81,0.2,UNUSED
bcd61684-5aaa-41c9-b524-d63bdd9a6382,1F50JV5CJ41,0.2,UNUSED
ee2cc879-c679-422f-bf37-a4d6f3023896,6V53UU8UH74,0.2,UNUSED
67eb366d-2151-4f07-8e73-8b04a8ab931d,4Q70A05EW45,0.5,USED
f849fbc5-91d6-453d-8948-f9ef9a443b14,5PN4CU0UJ57,0.2,USED
1ea8dbb3-1e1d-42f9-bdec-1ff1f13b5346,7HV0PR6FN14,0.1,USED
826e18b9-a24a-4fe2-8b45-7c8dff2d973e,3T62TX9FF49,0.5,UNUSED
ffd202e2-8538-420c-9a9d-989dcae6310f,7FM6UW3UG79,0.3,UNUSED
8f0c5e22-c601-4217-8bdd-2af14f005d0d,8E79EW1UW94,0.2,UNUSED
98a4eb07-2e58-48a9-ac50-84e62903f8a8,1K00EX4WG51,0.1,USED
0cd6b81e-34e3-4614-a1e5-a87bc502add7,3WE4RY6EF29,0.3,USED
ce1be4ba-d884-48e0-a88f-3495f2a1aaa1,3PJ4D88RD06,0.3,USED
62eb8e19-d7dd-4e72-9ea9-90ff38bf52a0,7FM4QT6FD23,0.4,UNUSED
1c3e654a-65b3-4782-9713-e3881a36dbc3,7U35WM1MY92,0.2,UNUSED
c5957164-d06f-4520-a497-d61ec4be0070,7CM4CE7JJ33,0.5,USED
b21a9016-ef5a-415c-b121-162933f3de3c,2PX1HA3KR56,0.5,UNUSED
4dc124b0-20c1-499f-a5bb-2cd222eedaf2,7M48KX5CJ31,0.2,USED
3d4e3b9a-365a-4f56-a6e9-05fef9dffcd2,1Q75DK9UE67,0.5,USED
72500781-3631-4def-947e-745542cc08a5,9JF5QD8XJ23,0.5,UNUSED
0ca0e212-2b44-40c9-ae6b-53e869b95f29,7VH5R97MP24,0.2,USED
009c38c0-f957-4977-9502-1eacae7fc33b,2P30G76VF50,0.2,UNUSED
31e98a16-2da0-4878-a485-b850195d06b6,2X99U19XJ46,0.3,USED
67303053-88c7-4013-8abb-df26afd775d4,4D90R27PG02,0.1,UNUSED
a8fcf826-3f15-4f01-b295-750c6d1adbe9,7A35GK3WD42,0.3,UNUSED
aa2f72ce-e496-4823-8f97-e2b234809c6d,5CC7G58HN59,0.1,UNUSED
d49f21d1-324e-4968-b926-256bbcd6896b,8UT8CV8AR40,0.2,USED
623c535f-602f-48e6-a5a7-a5802586c06b,9X85TU6KR55,0.5,UNUSED
0f16fb37-4703-4073-9c20-8f9f40263a2d,3ET0EJ8KK65,0.4,USED
04000898-f73d-4dcb-9cbd-861d1d5a5581,3Y37AN6WD69,0.2,USED
c1fb7934-40ca-4ae0-8b09-e0280f38c1ec,8DH8R32GF14,0.2,USED
66136a67-e3df-4c00-bc32-64955810de71,8XK3D78DE42,0.5,UNUSED
dee85586-ef34-495e-a69f-8a5cb139e9f4,8H86CD5WV69,0.5,UNUSED
2e0f94b8-c3dc-482f-b5ed-14bbfa0de996,9VP7VK0EA19,0.4,USED
b0f19604-df32-40d9-adbe-b732fad0622a,8A61U78PV58,0.4,USED
1a00308f-401f-485c-8537-23fdbc0cb15a,8FM4FH8YC55,0.5,USED
5e860253-9310-4759-8bca-5d14d9ed742c,7U21A17VG37,0.1,UNUSED
4a8c5ee7-1f14-402c-9c2f-2fb8d9e43ac9,7R98KH8KV83,0.2,UNUSED
77ca0252-c09c-4cd3-941d-f8e424157de2,5XN0PA0TJ29,0.4,USED
28744ec3-575a-477d-8bfe-2f8b28b34ee3,1AA0HM2PM50,0.4,USED
81689e74-024b-4895-af00-83daa046fcf0,1W92E81CF14,0.1,UNUSED
6ab3e840-c7c8-4894-98a9-a59d70a66ab9,6E11WH9XP68,0.3,UNUSED
a832d4c8-4729-43c9-8fd5-c7ecd2f5c835,5C68RU4AH12,0.1,USED
dc1ec506-5579-4fe1-b23e-26ada74f8b0c,1GU0P64PR77,0.5,UNUSED
5f3b221c-8be6-4d21-b288-d2a508e7f57c,7UF1AQ7AH18,0.3,USED
8dd335ac-1e78-472f-b355-d31f099b3e10,7G26RW5XJ34,0.2,USED
a7e037a8-7f94-460a-9dd0-d19d6ad1b8be,6AX2VJ1RN81,0.2,USED
e1804c8a-fd50-4cbc-a23c-0e78be7e564b,4VN8TE7QE29,0.4,USED
