gift_card_id,gift_card_code,detail,status
3e44fc93-4546-4f52-8326-6a5ddb1cdf3d,2RQ9N50EY98,0.5,USED
86bab757-3869-4f0c-aa82-ed61407d7e02,9PR1FE2HF06,0.3,UNUSED
333a7c98-e189-43ea-902b-ac43d37eaccd,4V82CD5WN38,0.3,USED
e980acca-2bab-486e-b8ba-21922f6970c0,3XE2Q90NG21,0.4,UNUSED
e9589254-8102-423b-8fb9-c1f6198bab6e,3A88RJ1GK18,0.4,USED
cbee4074-fdd5-4915-ad32-f9977bad75f1,4WR8FW4MQ60,0.5,USED
be143662-5520-473f-a10e-5a366e73bb60,6GQ8D04YA79,0.1,USED
3d705550-e4cc-4043-9001-6f2302ab5ac6,9Q23GP6HN54,0.5,USED
b0d8a637-2d06-4c49-adb2-f864ddcea280,6Y84H21GQ92,0.3,USED
9901d60a-b0ca-4f3c-bf7e-169fdf7031f3,4P50PV2UW98,0.4,UNUSED
2a472ed4-c4a3-4d37-a2e4-07f0093cd007,5C80P51KT83,0.4,UNUSED
45cc0a88-e9b3-4492-94a0-cb65f7b62a17,9RC7CR4CP41,0.4,UNUSED
00c39051-105b-43f3-93ab-802eba8934ac,4VP5UC9CR37,0.2,USED
325bec50-5cb7-4bd9-914b-92bbe351b3d9,7RW2JU5ER89,0.4,USED
75e277c9-31ab-4ca0-ae16-0ada68c78069,2P03JJ7PG94,0.5,USED
4c301b10-4c07-4dd6-a811-afda19188d52,4JX4A65DA85,0.3,UNUSED
fbc46b7d-f919-4c6a-9019-b304ff142f45,3JP5D01TW44,0.4,UNUSED
ef6525d1-6292-4d1f-83b2-50971cbaeab4,7K03VQ4GP89,0.2,UNUSED
364c5a6f-3a17-46f3-a41a-a50682507451,9MK4WX6EP38,0.2,UNUSED
a0d75571-d162-4a4b-abfa-019e61ec4b71,3G55ER1AN09,0.1,UNUSED
fb7b0110-0c35-4e12-b755-d32080042c18,7NE0KX6EA77,0.4,USED
bbf780f0-e8f7-48eb-abda-f679cb0b21c5,8NJ6FJ4XV03,0.1,USED
5a500770-c016-4152-bb88-c7e8af5aec16,6PN8YV4UE84,0.5,UNUSED
672ef4dc-9f13-42b9-ade7-f7e676968220,5W12EV1FK10,0.4,USED
80ef29dd-e5ae-4f27-bd3f-3703957831ab,8QN6W53FD68,0.1,USED
b912038f-3092-4d06-b08b-ff9fb44b456b,9PC2PC4EU66,0.5,USED
8f6493cf-97bf-42ba-966c-e7298bd2d945,8DV7K95QC08,0.3,USED
98151bc6-9113-41c7-88f3-6d322ee3907c,9R14AA1PA25,0.1,UNUSED
c4573317-10b7-428a-a36a-f3cff654f4ba,9MR5VU1FY99,0.4,UNUSED
